01/01,68,45
01/02,68,47
01/03,66,45
01/04,63,38
01/05,68,44
01/06,67,45
01/07,59,43
01/08,68,44
01/09,67,47
01/10,67,48
01/11,68,47
01/12,67,46
01/13,70,45
01/14,68,46
01/15,67,46
01/16,68,46
01/17,69,46
01/18,69,46
01/19,69,46
01/20,67,45
01/21,67,44
01/22,70,43
01/23,68,44
01/24,68,47
01/25,67,47
01/26,66,45
01/27,67,42
01/28,68,43
01/29,69,42
01/30,70,45
01/31,69,46
02/01,70,46
02/02,70,47
02/03,70,45
02/04,71,46
02/05,71,45
02/06,70,45
02/07,66,46
02/08,66,45
02/09,66,43
02/10,64,44
02/11,65,45
02/12,67,49
02/13,68,46
02/14,69,46
02/15,60,43
02/16,65,39
02/17,68,45
02/18,66,45
02/19,67,46
02/20,66,46
02/21,63,51
02/22,60,45
02/23,70,47
02/24,68,44
02/25,66,43
02/26,66,45
02/27,65,45
02/28,67,42
03/01,68,44
03/02,68,44
03/03,68,45
03/04,62,49
03/05,59,42
03/06,69,45
03/07,72,45
03/08,72,46
03/09,70,42
03/10,74,47
03/11,77,49
03/12,76,47
03/13,72,44
03/14,75,47
03/15,71,46
03/16,71,46
03/17,73,45
03/18,77,47
03/19,72,53
03/20,74,48
03/21,73,46
03/22,71,45
03/23,68,46
03/24,89,56
03/25,89,53
03/26,83,49
03/27,71,47
03/28,61,52
03/29,73,46
03/30,73,48
03/31,74,47
04/01,70,45
04/02,71,44
04/03,69,43
04/04,70,43
04/05,82,51
04/06,69,43
04/07,71,44
04/08,72,43
04/09,86,60
04/10,74,44
04/11,73,45
04/12,74,44
04/13,73,42
04/14,74,46
04/15,73,45
04/16,70,51
04/17,78,54
04/18,82,51
04/19,75,54
04/20,72,50
04/21,72,47
04/22,66,50
04/23,78,47
04/24,77,48
04/25,80,51
04/26,85,56
04/27,77,54
04/28,69,52
04/29,77,46
04/30,78,47
05/01,75,52
05/02,77,49
05/03,76,49
05/04,76,49
05/05,85,55
05/06,83,53
05/07,79,56
05/08,78,51
05/09,68,49
05/10,72,45
05/11,73,45
05/12,78,50
05/13,78,50
05/14,77,49
05/15,87,58
05/16,79,57
05/17,77,50
05/18,78,51
